1,홍길동,63,79,89,231,77,0
2,유관순,78,64,57,199,66.3333333333,0
3,이순신,93,65,95,253,84.3333333333,0
4,강감찬,91,66,53,210,70,0
5,김구,87,82,61,230,76.6666666667,0
6,김유신,63,54,62,179,59.6666666667,0
7,홍길자,59,62,78,199,66.3333333333,0
8,홍길순,62,75,62,199,66.3333333333,0
9,길동스,67,80,81,228,76,0
10,관순스,61,77,98,236,78.6666666667,0
11,순신스,52,71,95,218,72.6666666667,0
12,Tailor,81,54,70,205,68.3333333333,0
13,Thaddus,86,62,78,226,75.3333333333,0
14,Martynne,60,97,67,224,74.6666666667,0
15,Gillie,51,69,51,171,57,0
16,Ozzie,60,60,70,190,63.3333333333,0
17,Aloisia,77,91,61,229,76.3333333333,0
18,Reeba,93,72,79,244,81.3333333333,0
19,Arline,52,65,63,180,60,0
20,Granger,66,81,86,233,77.6666666667,0
21,Ario,98,54,50,202,67.3333333333,0
22,Sauncho,95,50,92,237,79,0
23,Denni,56,100,81,237,79,0
24,Barrie,53,95,79,227,75.6666666667,0
25,Judi,53,86,79,218,72.6666666667,0
26,Olva,89,87,81,257,85.6666666667,0
27,Celene,51,91,99,241,80.3333333333,0
28,Rickie,77,93,73,243,81,0
29,Alica,53,50,78,181,60.3333333333,0
30,Keene,64,54,73,191,63.6666666667,0
31,Else,98,96,61,255,85,0
32,Carmen,55,100,86,241,80.3333333333,0
33,Korella,81,51,81,213,71,0
34,Anabal,68,79,89,236,78.6666666667,0
35,Christopher,95,63,98,256,85.3333333333,0
36,Hammad,54,63,50,167,55.6666666667,0
37,Holt,68,76,89,233,77.6666666667,0
38,Boone,57,64,97,218,72.6666666667,0
39,Harper,78,76,62,216,72,0
40,Regan,54,67,57,178,59.3333333333,0
41,Maddie,73,71,86,230,76.6666666667,0
42,Dacia,99,85,88,272,90.6666666667,0
43,Benton,65,76,80,221,73.6666666667,0
44,Jedediah,79,94,66,239,79.6666666667,0
45,Gawain,95,64,80,239,79.6666666667,0
46,Magnum,62,58,96,216,72,0
47,Jocelyne,54,72,100,226,75.3333333333,0
48,Mendy,54,55,65,174,58,0
49,Karolina,76,62,72,210,70,0
50,Roman,72,86,50,208,69.3333333333,0
